         183759 function calls (179708 primitive calls) in 0.294 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       61    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      173    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      265    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
        1    0.000    0.000    0.001    0.001 ExifTags.py:295(<dictcomp>)
      460    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      417    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
      521    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      708    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.027    0.027 Image.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _function_base_impl.py:1(<module>)
      602    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 getlimits.py:167(_register_known_types)
      196    0.000    0.000    0.000    0.000 rq.py:285(__init__)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
      276    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       47    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       12    0.000    0.000    0.002    0.000 typing.py:2247(_make_nmtuple)
        1    0.000    0.000    0.000    0.000 TiffTags.py:439(_populate)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        2    0.000    0.000    0.016    0.008 multiarray.py:1(<module>)
       33    0.000    0.000    0.001    0.000 abc.py:105(__new__)
      460    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      488    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
       82    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
        1    0.000    0.000    0.009    0.009 _dtype_like.py:1(<module>)
      775    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 Image.py:527(Image)
      336    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       28    0.000    0.000    0.001    0.000 typing.py:1323(__class_getitem__)
        1    0.000    0.000    0.294    0.294 auto.py:1(<module>)
        1    0.000    0.000    0.027    0.027 _linalg.py:1(<module>)
